Model name,Target backend,Scale factor type,Weight bit width,Act bit width,Bias bit width,Scaling per output channel,Act quant type,Bias corr,Graph eq iterations,Graph eq merge bias,Gptq,Gptq act order,Act quant percentile,Top 1% floating point accuracy,Top 1% quant accuracy,Floating point accuracy - quant accuracy,Quant accuracy / floating point accuracy,Calibration size,Calibration batch size,Torch version,Brevitas version
mobilenet_v2,layerwise,po2,6,8,int32,True,asymmetric,True,20,True,True,False,99.99,71.898,70.008,-1.89,0.974,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,po2,6,8,int32,True,asymmetric,True,20,True,True,False,99.99,71.898,70.03,-1.868,0.974,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,6,8,int32,False,asymmetric,True,20,True,True,False,99.999,71.898,70.114,-1.784,0.975,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,6,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,70.148,-1.75,0.976,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,6,8,int32,True,asymmetric,True,20,True,True,False,99.99,71.898,70.18,-1.718,0.976,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,6,8,int32,True,symmetric,True,20,True,True,False,99.99,71.898,70.228,-1.67,0.977,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,6,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,70.54,-1.358,0.981,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,70.774,-1.124,0.984,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.9,71.898,70.792,-1.106,0.985,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,po2,8,8,int32,True,symmetric,True,20,True,True,False,99.9,71.898,70.804,-1.094,0.985,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,False,False,99.99,71.898,70.85,-1.048,0.985,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,po2,8,8,int32,True,asymmetric,True,20,True,True,False,99.99,71.898,70.964,-0.934,0.987,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,70.972,-0.926,0.987,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,8,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,71.018,-0.88,0.988,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,8,8,int32,True,symmetric,True,20,True,False,False,99.99,71.898,71.064,-0.834,0.988,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,8,8,int32,True,asymmetric,True,20,True,False,False,99.99,71.898,71.066,-0.832,0.988,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,8,8,int32,True,symmetric,True,20,True,False,False,99.99,71.898,71.104,-0.794,0.989,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,False,99.99,71.898,71.128,-0.77,0.989,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,8,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,71.15,-0.748,0.99,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,8,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,71.166,-0.732,0.99,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.9,71.898,71.254,-0.644,0.991,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,po2,8,8,int32,True,symmetric,True,20,True,False,False,99.9,71.898,71.312,-0.586,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,False,False,99.9,71.898,71.33,-0.568,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.9,71.898,71.332,-0.566,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,po2,8,8,int32,True,asymmetric,True,20,True,True,False,99.9,71.898,71.462,-0.436,0.994,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,8,8,int32,False,asymmetric,True,20,True,False,False,99.99,71.898,71.5,-0.398,0.994,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,8,8,int32,True,asymmetric,True,20,True,False,False,99.99,71.898,71.536,-0.362,0.995,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.99,69.758,59.618,-10.14,0.855,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,False,99.9,69.758,59.786,-9.972,0.857,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.999,69.758,59.98,-9.778,0.86,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,69.758,59.988,-9.77,0.86,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,True,99.99,69.758,60.02,-9.738,0.86,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,69.758,60.408,-9.35,0.866,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,4,8,int32,False,asymmetric,True,20,True,True,True,99.99,69.758,60.564,-9.194,0.868,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.9,69.758,60.618,-9.14,0.869,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,69.758,65.138,-4.62,0.934,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.99,69.758,65.39,-4.368,0.937,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.99,69.758,65.466,-4.292,0.938,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.999,69.758,65.568,-4.19,0.94,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,4,8,int32,True,symmetric,True,20,True,True,True,99.99,69.758,67.724,-2.034,0.971,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,4,8,int32,True,asymmetric,True,20,True,True,True,99.99,69.758,67.868,-1.89,0.973,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,4,8,int32,True,asymmetric,True,20,True,True,True,99.999,69.758,67.914,-1.844,0.974,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,4,8,int32,True,symmetric,True,20,True,True,True,99.99,69.758,67.93,-1.828,0.974,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,4,8,int32,True,symmetric,True,20,True,True,True,99.999,69.758,68.73,-1.028,0.985,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,4,8,int32,True,symmetric,True,20,True,True,True,99.999,69.758,68.774,-0.984,0.986,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,True,99.999,69.758,68.818,-0.94,0.987,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,4,8,int32,True,asymmetric,True,20,True,True,True,99.999,69.758,68.94,-0.818,0.988,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,False,99.99,69.758,69.096,-0.662,0.991,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,False,99.99,69.758,69.14,-0.618,0.991,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,False,99.999,69.758,69.164,-0.594,0.991,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,True,99.99,69.758,69.18,-0.578,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,6,8,int32,False,asymmetric,True,20,True,True,False,99.999,69.758,69.2,-0.558,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.999,69.758,69.222,-0.536,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.99,69.758,69.222,-0.536,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,6,8,int32,False,asymmetric,True,20,True,True,True,99.999,69.758,69.322,-0.436,0.994,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,6,8,int32,False,asymmetric,True,20,True,True,False,99.999,69.758,69.332,-0.426,0.994,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,6,8,int32,True,symmetric,True,20,True,True,False,99.999,69.758,69.408,-0.35,0.995,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,6,8,int32,True,asymmetric,True,20,True,True,True,99.999,69.758,69.414,-0.344,0.995,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,6,8,int32,False,symmetric,True,20,True,True,False,99.999,69.758,69.42,-0.338,0.995,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,6,8,int32,False,symmetric,True,20,True,True,False,99.999,69.758,69.424,-0.334,0.995,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,False,99.999,69.758,69.472,-0.286,0.996,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,6,8,int32,False,asymmetric,True,20,True,True,False,99.999,69.758,69.498,-0.26,0.996,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,6,8,int32,True,symmetric,True,20,True,True,True,99.999,69.758,69.51,-0.248,0.996,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,8,8,int32,False,asymmetric,True,20,True,True,True,99.999,69.758,69.526,-0.232,0.997,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,8,8,int32,True,asymmetric,True,20,True,True,False,99.999,69.758,69.542,-0.216,0.997,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,8,8,int32,False,symmetric,True,20,True,True,True,99.999,69.758,69.542,-0.216,0.997,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,8,8,int32,False,symmetric,True,20,True,True,True,99.999,69.758,69.562,-0.196,0.997,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,6,8,int32,True,asymmetric,True,20,True,True,True,99.999,69.758,69.574,-0.184,0.997,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.99,69.758,69.578,-0.18,0.997,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,6,8,int32,True,symmetric,True,20,True,True,False,99.99,69.758,69.584,-0.174,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,8,8,int32,True,symmetric,True,20,True,True,True,99.99,69.758,69.586,-0.172,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,float32,8,8,int32,True,symmetric,True,20,True,True,False,99.999,69.758,69.59,-0.168,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.999,69.758,69.59,-0.168,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,8,8,int32,True,symmetric,True,20,True,True,False,99.99,69.758,69.6,-0.158,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,True,99.999,69.758,69.606,-0.152,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.999,69.758,69.614,-0.144,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,6,8,int32,True,asymmetric,True,20,True,True,False,99.99,69.758,69.614,-0.144,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.999,69.758,69.616,-0.142,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,8,8,int32,False,symmetric,True,20,True,True,True,99.999,69.758,69.622,-0.136,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,generic,po2,8,8,int32,True,asymmetric,True,20,True,True,False,99.999,69.758,69.626,-0.132,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,6,8,int32,True,symmetric,True,20,True,True,False,99.999,69.758,69.626,-0.132,0.998,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,8,8,int32,False,asymmetric,True,20,True,True,True,99.99,69.758,69.662,-0.096,0.999,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,8,8,int32,True,symmetric,True,20,True,True,False,99.999,69.758,69.684,-0.074,0.999,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,8,8,int32,False,asymmetric,True,20,True,True,False,99.999,69.758,69.686,-0.072,0.999,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,8,8,int32,True,asymmetric,True,20,True,False,False,99.999,69.758,69.698,-0.06,0.999,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,float32,6,8,int32,True,asymmetric,True,20,True,True,True,99.999,69.758,69.728,-0.03,1.0,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
resnet18,layerwise,po2,8,8,int32,True,asymmetric,True,20,True,True,True,99.99,69.758,69.728,-0.03,1.0,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,True,99.99,75.912,47.508,-28.404,0.626,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.99,75.912,47.508,-28.404,0.626,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.99,75.912,47.508,-28.404,0.626,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,True,99.999,75.912,56.904,-19.008,0.75,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,56.904,-19.008,0.75,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,56.904,-19.008,0.75,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,layerwise,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.99,75.912,60.292,-15.62,0.794,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,layerwise,po2,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,61.916,-13.996,0.816,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,6,8,int32,True,symmetric,True,20,True,True,True,99.99,75.912,67.072,-8.84,0.884,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,8,8,int32,True,symmetric,True,20,True,True,False,99.99,75.912,67.168,-8.744,0.885,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,True,99.99,75.912,67.17,-8.742,0.885,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,True,99.99,75.912,67.17,-8.742,0.885,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,8,8,int32,False,symmetric,True,20,True,True,True,99.99,75.912,67.17,-8.742,0.885,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,4,8,int32,True,symmetric,True,20,True,True,False,99.99,75.912,67.964,-7.948,0.895,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,False,99.99,75.912,68.092,-7.82,0.897,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.99,75.912,68.092,-7.82,0.897,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.99,75.912,68.092,-7.82,0.897,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.999,75.912,68.1,-7.812,0.897,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,68.378,-7.534,0.901,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,layerwise,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.999,75.912,70.336,-5.576,0.927,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,layerwise,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,70.66,-5.252,0.931,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,True,99.999,75.912,72.412,-3.5,0.954,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,72.412,-3.5,0.954,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,6,8,int32,False,asymmetric,True,20,True,True,True,99.999,75.912,72.412,-3.5,0.954,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,4,8,int32,True,asymmetric,True,20,True,True,False,99.999,75.912,72.752,-3.16,0.958,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,False,99.999,75.912,73.294,-2.618,0.966,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.999,75.912,73.294,-2.618,0.966,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.999,75.912,73.294,-2.618,0.966,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
vit_b_32,generic,po2,8,8,int32,True,asymmetric,True,20,True,True,True,99.999,75.912,73.358,-2.554,0.966,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
