Model name,Target backend,Scale factor type,Weight bit width,Act bit width,Bias bit width,Scaling per output channel,Act quant type,Bias corr,Graph eq iterations,Graph eq merge bias,Gptq,Gptq act order,Act quant percentile,Top 1% floating point accuracy,Top 1% quant accuracy,Floating point accuracy - quant accuracy,Quant accuracy / floating point accuracy,Calibration size,Calibration batch size,Torch version,Brevitas version
mobilenet_v2,flexml,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.9,71.898,0.088,-71.81,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.99,71.898,0.092,-71.806,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,symmetric,True,20,True,True,True,99.999,71.898,0.094,-71.804,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,False,False,99.9,71.898,68.526,-3.372,0.953,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,False,False,99.99,71.898,66.556,-5.342,0.926,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,False,False,99.999,71.898,67.132,-4.766,0.934,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,False,99.9,71.898,69.098,-2.8,0.961,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,False,99.99,71.898,69.194,-2.704,0.962,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,False,99.999,71.898,67.734,-4.164,0.942,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,True,99.9,71.898,0.096,-71.802,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,True,99.99,71.898,0.11,-71.788,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,asymmetric,True,20,True,True,True,99.999,71.898,0.09,-71.808,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,False,False,99.9,71.898,66.514,-5.384,0.925,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,False,False,99.99,71.898,66.202,-5.696,0.921,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,False,False,99.999,71.898,66.452,-5.446,0.924,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,False,99.9,71.898,69.542,-2.356,0.967,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,False,99.99,71.898,68.628,-3.27,0.955,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,False,99.999,71.898,68.748,-3.15,0.956,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,True,99.9,71.898,0.116,-71.782,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,True,99.99,71.898,0.106,-71.792,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int16,False,symmetric,True,20,True,True,True,99.999,71.898,0.108,-71.79,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,False,False,99.9,71.898,66.208,-5.69,0.921,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,False,False,99.99,71.898,67.44,-4.458,0.938,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,False,False,99.999,71.898,67.66,-4.238,0.941,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,False,99.9,71.898,69.246,-2.652,0.963,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,68.306,-3.592,0.95,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,False,99.999,71.898,67.302,-4.596,0.936,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,True,99.9,71.898,0.104,-71.794,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,True,99.99,71.898,0.09,-71.808,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,asymmetric,True,20,True,True,True,99.999,71.898,0.084,-71.814,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,False,False,99.9,71.898,68.028,-3.87,0.946,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,False,False,99.99,71.898,67.648,-4.25,0.941,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,False,False,99.999,71.898,66.134,-5.764,0.92,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.9,71.898,69.356,-2.542,0.965,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,68.936,-2.962,0.959,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,False,99.999,71.898,66.54,-5.358,0.925,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,True,99.9,71.898,0.108,-71.79,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,True,99.99,71.898,0.08,-71.818,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,6,8,int32,False,symmetric,True,20,True,True,True,99.999,71.898,0.144,-71.754,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,False,False,99.9,71.898,68.868,-3.03,0.958,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,False,False,99.99,71.898,70.874,-1.024,0.986,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,False,False,99.999,71.898,69.806,-2.092,0.971,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
